# Bron: https://www.cbs.nl/nl-nl/maatwerk/2015/20/religie-en-kerkbezoek-naar-gemeente-2010-2014
# Kerkelijke gezindte en kerkbezoek in 403 gemeenten, 2010/2014 (18 jaar en ouder 1)
# Kolom "Maandelijks%" is bevolkingsdeel dan minimaal 1x per maand een religieuze dienst bezoekt.
Provincie,Gemeente,Gemcode,Maandelijks%,Religieus%,dummy,Katholiek%,Hervormd%,Gereformeerd%,PKN%,Islam%,Joods%,Hindoe%,Boeddhist%,Anders%
Gelderland,Nijmegen,268,10.3,47.5,,33.5,1.6,0.5,2.1,5.5,0.1,0.4,0.4,3.5
Gelderland,Nunspeet,302,58.0,77.9,,5.3,24.3,17.7,17.4,1.5,0.0,0.0,0.0,11.7
Gelderland,Oldebroek,269,52.0,76.6,,2.6,37.4,10.5,14.5,0.0,0.0,0.0,0.0,11.5
Gelderland,Oost Gelre,1586,9.0,71.8,,60.9,5.0,1.1,3.7,0.7,0.0,0.0,0.0,0.4
Gelderland,Oude IJsselstreek,1509,17.2,66.1,,42.1,10.1,1.8,6.0,2.7,0.0,0.0,0.0,3.4
Gelderland,Overbetuwe,1734,15.9,58.5,,29.5,14.5,3.2,5.5,2.3,0.0,0.3,0.3,2.9
Gelderland,Putten,273,43.0,73.1,,3.4,41.6,8.9,15.3,0.3,0.3,0.0,0.0,3.2
Gelderland,Renkum,274,18.2,48.0,,20.1,12.2,1.6,8.5,1.3,0.0,0.0,0.0,4.3
Gelderland,Rheden,275,15.7,46.1,,14.3,10.4,3.0,11.8,2.7,0.2,0.0,0.2,3.7
Gelderland,Rijnwaarden,196,4.5,62.2,,54.6,1.1,1.1,0.7,0.0,0.0,0.4,0.4,3.7
Gelderland,Rozendaal,277,.,.,,.,.,.,.,.,.,.,.,.
Gelderland,Scherpenzeel,279,39.7,73.8,,14.0,21.8,15.6,12.5,0.4,0.0,0.0,0.8,8.9
Gelderland,Tiel,281,13.2,54.2,,15.3,14.8,2.3,5.8,12.3,0.0,0.3,0.2,3.3
Gelderland,Ubbergen,282,14.5,66.3,,57.6,3.0,1.9,1.1,0.4,0.0,0.0,0.0,2.3
Gelderland,Voorst,285,18.3,57.0,,29.2,17.7,1.4,5.5,0.8,0.0,0.0,0.3,2.1
Gelderland,Wageningen,289,16.7,40.2,,15.4,7.2,2.0,7.4,1.5,0.0,0.2,0.3,6.4
Gelderland,West Maas en Waal,668,14.6,73.1,,67.1,3.3,0.0,2.1,0.2,0.0,0.0,0.0,0.4
Gelderland,Westervoort,293,14.8,48.7,,27.8,6.2,1.5,4.6,1.3,0.0,0.0,0.0,7.2
Gelderland,Wijchen,296,9.0,63.2,,52.9,2.2,0.3,2.9,1.6,0.1,0.5,0.0,2.8
Gelderland,Winterswijk,294,15.3,52.8,,17.0,15.5,1.5,9.7,2.4,0.0,0.5,0.3,5.9
Gelderland,Zaltbommel,297,27.6,65.6,,13.9,26.9,5.2,11.8,4.9,0.0,0.0,0.1,2.7
Gelderland,Zevenaar,299,10.5,54.4,,39.6,4.2,0.9,3.4,1.7,0.0,0.1,0.3,4.1
Gelderland,Zutphen,301,11.2,36.7,,11.8,8.7,1.8,5.5,4.4,0.0,0.0,0.4,4.1
Utrecht,Amersfoort,307,18.9,47.2,,16.0,5.7,5.6,7.1,5.0,0.1,0.4,0.5,6.8
Utrecht,Baarn,308,18.1,46.7,,20.2,5.0,1.9,9.9,4.0,0.0,0.0,0.3,5.4
Utrecht,Bunnik,312,22.3,58.4,,34.9,8.1,1.7,6.6,0.2,0.7,0.0,0.5,5.7
Utrecht,Bunschoten,313,65.6,85.1,,6.9,10.5,51.5,9.5,1.7,0.4,0.0,0.2,4.4
Utrecht,De Bilt,310,19.5,44.1,,14.3,12.7,3.7,5.2,1.8,0.0,0.1,0.8,5.5
Utrecht,De Ronde Venen,736,16.9,51.4,,28.4,6.5,4.1,6.9,2.2,0.2,0.0,0.5,2.7
Utrecht,Eemnes,317,13.4,43.7,,32.5,4.3,1.7,3.5,0.9,0.0,0.0,0.0,0.9
Utrecht,Houten,321,19.8,52.2,,21.7,7.2,4.6,8.9,4.2,0.3,0.1,0.8,4.4
Utrecht,IJsselstein,353,9.6,47.3,,23.8,6.0,1.8,4.0,6.9,0.1,1.1,0.0,3.5
Utrecht,Leusden,327,18.9,47.6,,21.9,6.6,6.9,6.1,0.6,0.6,0.0,0.3,4.8
Utrecht,Lopik,331,29.7,68.2,,27.9,26.6,6.3,4.7,0.0,0.5,0.0,0.0,2.5
Utrecht,Montfoort,335,22.1,61.0,,34.0,9.1,3.7,9.4,2.3,0.0,0.0,0.0,2.6
Utrecht,Nieuwegein,356,13.5,51.5,,24.4,8.0,2.4,4.2,4.8,0.1,1.4,0.4,5.8
Utrecht,Oudewater,589,23.4,69.7,,46.6,11.3,2.9,7.6,0.4,0.0,0.0,0.0,0.8
Utrecht,Renswoude,339,.,.,,.,.,.,.,.,.,.,.,.
Utrecht,Rhenen,340,21.1,51.3,,10.0,18.2,7.6,8.0,2.0,0.0,0.0,0.2,5.4
Utrecht,Soest,342,17.5,45.3,,18.1,6.2,4.0,5.8,6.4,0.3,0.5,0.3,3.7
Utrecht,Stichtse Vecht,1904,14.1,41.4,,16.7,8.0,2.7,6.9,1.9,0.0,0.7,0.4,4.2
Utrecht,Utrecht,344,13.1,40.0,,13.1,4.1,1.7,5.3,9.7,0.1,0.6,0.5,4.8
Utrecht,Utrechtse Heuvelrug,1581,17.1,49.1,,12.7,11.7,5.1,10.8,2.8,0.0,0.5,0.3,5.1
Utrecht,Veenendaal,345,33.5,67.3,,7.5,20.4,9.3,12.8,8.0,0.1,0.1,0.4,8.5
Utrecht,Vianen,620,9.4,52.5,,22.9,12.0,2.2,8.9,2.4,0.0,0.2,0.0,4.2
Utrecht,Wijk bij Duurstede,352,12.1,48.5,,25.4,6.7,4.0,6.9,2.3,0.0,0.2,0.4,2.7
Utrecht,Woerden,632,24.9,59.8,,23.2,13.5,5.9,9.6,1.9,0.2,0.7,0.3,4.3
Utrecht,Woudenberg,351,46.1,68.2,,9.4,16.2,11.7,18.4,1.6,0.0,0.3,0.3,10.4
Utrecht,Zeist,355,14.8,45.3,,13.4,8.1,2.2,7.7,5.5,0.0,1.1,0.0,7.3
Noord-Holland,Aalsmeer,358,20.2,44.6,,18.6,6.6,6.0,7.5,2.5,0.0,0.3,0.3,2.8
Noord-Holland,Alkmaar,361,9.1,37.8,,20.3,3.0,1.5,2.7,4.8,0.1,0.3,0.9,4.4
Noord-Holland,Amstelveen,362,14.7,43.8,,21.0,3.6,1.3,5.6,2.0,2.9,1.0,0.5,5.9
Noord-Holland,Amsterdam,363,11.9,37.7,,11.4,2.4,0.8,2.9,11.4,0.8,1.0,1.0,6.1
Noord-Holland,Graft-De Rijp,365,.,.,,.,.,.,.,.,.,.,.,.
Noord-Holland,Beemster,370,3.1,28.6,,22.5,1.8,0.9,0.9,0.9,0.0,0.0,1.8,0.0
Noord-Holland,Bergen (NH.),373,8.4,36.3,,24.3,2.9,0.6,2.5,0.6,0.0,0.0,0.4,5.0
Noord-Holland,Beverwijk,375,9.6,41.0,,25.1,3.6,0.7,0.9,7.4,0.0,0.5,0.2,2.4
Noord-Holland,Blaricum,376,10.5,47.1,,30.8,7.3,0.8,2.7,2.7,0.0,0.0,0.0,2.7
Noord-Holland,Bloemendaal,377,12.2,43.2,,23.3,3.6,5.8,6.4,0.2,0.0,0.0,0.0,4.0
Noord-Holland,Bussum,381,6.9,35.3,,18.2,6.6,0.6,3.0,2.5,0.3,0.1,0.0,3.9
Noord-Holland,Castricum,383,5.8,40.1,,29.1,2.9,1.9,0.7,0.7,0.1,0.5,0.3,4.0
Noord-Holland,Diemen,384,11.8,35.6,,9.8,4.0,0.7,4.4,5.2,0.2,1.9,0.5,8.9
Noord-Holland,Edam-Volendam,385,17.2,70.2,,62.9,1.8,2.1,0.6,1.5,0.0,0.0,0.4,1.0
Noord-Holland,Enkhuizen,388,11.4,38.9,,16.1,6.1,2.6,5.0,3.5,0.2,0.0,0.4,5.0
Noord-Holland,Haarlem,392,9.0,37.1,,15.6,2.3,1.4,4.9,7.0,0.2,0.4,0.9,4.5
Noord-Holland,Haarlemmerliede en Spaarnwoude,393,11.4,42.2,,37.1,0.6,0.6,1.2,2.4,0.0,0.0,0.0,0.6
Noord-Holland,Haarlemmermeer,394,12.2,41.7,,18.1,4.7,3.3,4.8,4.4,0.2,1.0,0.3,4.9
Noord-Holland,Heemskerk,396,11.3,44.5,,26.9,4.7,1.7,3.2,4.2,0.1,0.5,0.7,2.4
Noord-Holland,Heemstede,397,10.3,42.2,,25.0,4.0,0.9,3.3,2.3,1.3,0.0,0.3,5.1
Noord-Holland,Heerhugowaard,398,11.4,42.7,,26.3,3.8,1.3,1.9,4.5,0.0,0.3,0.7,4.0
Noord-Holland,Heiloo,399,10.6,41.2,,25.1,6.7,0.4,6.5,0.7,0.0,0.0,0.2,1.8
Noord-Holland,Den Helder,400,11.6,36.1,,15.1,6.3,2.9,3.2,2.5,0.0,0.6,0.5,5.0
Noord-Holland,Hilversum,402,12.0,37.4,,15.0,5.2,1.3,3.6,6.0,0.1,0.3,0.6,5.3
Noord-Holland,Hoorn,405,10.8,38.5,,19.5,2.6,1.9,2.2,5.0,0.2,0.3,1.0,5.9
Noord-Holland,Huizen,406,18.4,43.4,,11.5,12.8,1.4,8.8,3.3,0.1,0.1,0.4,5.1
Noord-Holland,Landsmeer,415,6.3,19.9,,7.1,1.8,0.6,7.7,0.9,0.0,0.0,0.9,0.9
Noord-Holland,Langedijk,416,10.9,41.2,,24.7,6.4,3.6,3.5,0.3,0.0,0.0,0.1,2.6
Noord-Holland,Laren,417,12.3,41.8,,28.3,2.4,0.8,4.5,0.0,0.0,0.0,0.0,5.3
Noord-Holland,Medemblik,420,17.0,51.1,,37.4,1.6,2.7,4.9,1.1,0.0,0.0,0.0,3.4
Noord-Holland,Muiden,424,6.4,26.6,,9.2,2.9,3.5,2.3,4.6,0.6,0.0,0.0,3.5
Noord-Holland,Naarden,425,14.1,38.9,,19.3,5.5,0.5,4.1,4.5,0.2,0.0,0.0,4.8
Noord-Holland,Oostzaan,431,8.0,23.6,,6.8,3.4,3.0,2.1,2.1,0.8,0.0,0.4,5.1
Noord-Holland,Opmeer,432,12.8,63.1,,56.9,2.3,0.0,0.3,2.3,0.0,0.0,0.0,1.3
Noord-Holland,Ouder-Amstel,437,11.1,42.7,,26.1,6.0,2.0,2.8,4.3,0.3,0.9,0.0,0.6
